epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,13682.4,1.04906,1.54148,1.13104,1.07921,0.1873,0.17488,0.09038,0.03399,0.15358,0.11442,0.06089,0.02108,2.21575,4.13471,3.28481,2.23667,0.000693042,0.000693042,0.000693042
40,13774.7,1.05741,1.59466,1.13382,1.09174,0.14408,0.10224,0.07196,0.0265,0.11596,0.09919,0.05048,0.01835,2.28183,4.02147,3.27077,2.29233,0.000682043,0.000682043,0.000682043
41,13866.2,1.0542,1.53428,1.16145,1.07741,0.13804,0.13124,0.10115,0.03552,0.10949,0.1056,0.07306,0.02321,2.09011,3.77126,3.17352,2.19193,0.000671044,0.000671044,0.000671044
42,13954.6,1.06094,1.61188,1.11597,1.08794,0.10739,0.14575,0.10528,0.03876,0.07988,0.13293,0.07034,0.02896,2.16656,3.83164,3.10406,2.24316,0.000660045,0.000660045,0.000660045
43,14043.7,1.05251,1.52724,1.10037,1.07732,0.13147,0.10088,0.08935,0.03517,0.106,0.09447,0.06814,0.0262,2.11866,3.87969,3.10004,2.19696,0.000649046,0.000649046,0.000649046
44,14133.6,1.07736,1.56566,1.11195,1.0878,0.223,0.10729,0.11108,0.04476,0.18009,0.08806,0.0769,0.03292,2.2144,3.91011,3.10315,2.22953,0.000638047,0.000638047,0.000638047
45,14222.8,1.01374,1.52591,1.06754,1.05888,0.2234,0.12091,0.1139,0.04531,0.21298,0.09278,0.07246,0.03314,2.21736,4.0284,3.16386,2.16501,0.000627048,0.000627048,0.000627048
46,14312.5,1.00697,1.48826,1.02386,1.04562,0.15577,0.1056,0.09348,0.03441,0.13153,0.09278,0.06891,0.02985,2.2513,4.11108,3.19505,2.14911,0.000616049,0.000616049,0.000616049
47,14403.3,0.96887,1.46115,1.05559,1.03972,0.15398,0.10088,0.09628,0.04016,0.13333,0.08806,0.0671,0.03397,2.28353,4.11048,3.16142,2.1989,0.000605051,0.000605051,0.000605051
48,14494.6,1.02416,1.49129,1.05977,1.07089,0.24128,0.09278,0.10357,0.0433,0.21887,0.08637,0.07359,0.03522,2.29233,4.17014,3.30263,2.25013,0.000594052,0.000594052,0.000594052
49,14586.2,1.05997,1.55531,1.09276,1.07898,0.18627,0.07355,0.07414,0.02952,0.09723,0.07524,0.04177,0.01741,2.34933,4.29332,3.41422,2.2918,0.000583053,0.000583053,0.000583053
50,14678.5,0.95663,1.46086,0.97693,1.02911,0.1892,0.09919,0.07004,0.02719,0.12935,0.06883,0.03854,0.01734,2.33308,4.2596,3.35685,2.3143,0.000572054,0.000572054,0.000572054
51,14773.8,0.95196,1.4651,1.00876,1.02843,0.15207,0.09919,0.08155,0.0304,0.09975,0.11032,0.0458,0.01853,2.32633,4.20592,3.3282,2.33414,0.000561055,0.000561055,0.000561055
52,14867.7,0.96049,1.52059,0.99583,1.023,0.17536,0.12955,0.10636,0.03857,0.13013,0.10492,0.06628,0.02078,2.2421,4.0387,3.39369,2.27215,0.000550056,0.000550056,0.000550056
