epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7865.06,0.87078,0.81371,0.98791,0.22105,0.13596,0.11754,0.0421,2.12259,3.24526,2.26057,0.000352076,0.000352076,0.000352076
71,7998.61,0.85874,0.80883,0.99819,0.21057,0.10088,0.10933,0.04221,2.11002,3.30803,2.25865,0.000341077,0.000341077,0.000341077
72,8151.74,0.83407,0.76815,0.97549,0.21871,0.11842,0.10739,0.04085,2.13707,3.34379,2.2467,0.000330078,0.000330078,0.000330078
73,8282.56,0.81791,0.75731,0.95518,0.2006,0.15823,0.12454,0.04461,2.12219,3.3075,2.23282,0.000319079,0.000319079,0.000319079
74,8408.76,0.83356,0.79376,0.97965,0.22998,0.1472,0.13356,0.04015,2.12056,3.34972,2.28484,0.00030808,0.00030808,0.00030808
75,8531.97,0.82302,0.78092,0.9843,0.21493,0.11201,0.11113,0.03507,2.1202,3.43717,2.2751,0.000297081,0.000297081,0.000297081
76,8653.78,0.78242,0.74169,0.97072,0.22842,0.11201,0.11353,0.03702,2.14666,3.47345,2.29051,0.000286083,0.000286083,0.000286083
77,8774.5,0.81855,0.80183,0.97865,0.21884,0.11201,0.10653,0.03532,2.18442,3.42312,2.30325,0.000275084,0.000275084,0.000275084
78,8900.7,0.7941,0.74903,0.96421,0.26336,0.1471,0.11141,0.03643,2.16504,3.40098,2.27418,0.000264085,0.000264085,0.000264085
79,9022.56,0.78256,0.76362,0.98169,0.20168,0.15823,0.10156,0.0333,2.21224,3.44325,2.29415,0.000253086,0.000253086,0.000253086
80,9145.67,0.83095,0.79023,0.98741,0.19485,0.17488,0.09551,0.03468,2.19855,3.50335,2.27793,0.000242087,0.000242087,0.000242087
81,9269.38,0.81979,0.77364,0.99427,0.21799,0.15092,0.09201,0.03281,2.25492,3.53562,2.33151,0.000231088,0.000231088,0.000231088
82,9394.41,0.77091,0.72869,0.96684,0.20993,0.15092,0.09495,0.03355,2.22756,3.53005,2.34305,0.000220089,0.000220089,0.000220089
83,9539.19,0.79789,0.74268,0.97566,0.20011,0.1352,0.10378,0.03671,2.20097,3.4998,2.33877,0.00020909,0.00020909,0.00020909
84,9669.92,0.72965,0.7011,0.95323,0.21701,0.12224,0.11826,0.04381,2.18987,3.4507,2.33609,0.000198091,0.000198091,0.000198091
85,9794.08,0.79515,0.73612,0.97075,0.26656,0.13979,0.11963,0.04828,2.1606,3.39549,2.31983,0.000187092,0.000187092,0.000187092
86,9920.74,0.77815,0.72516,0.96484,0.336,0.13338,0.12088,0.04576,2.15677,3.36753,2.26536,0.000176094,0.000176094,0.000176094
87,10045.9,0.76126,0.69405,0.9638,0.20206,0.15733,0.10995,0.04105,2.13259,3.40699,2.24859,0.000165095,0.000165095,0.000165095
88,10163.9,0.73963,0.69739,0.9632,0.19696,0.15733,0.10466,0.03824,2.12544,3.41537,2.23042,0.000154096,0.000154096,0.000154096
89,10290.2,0.74973,0.68204,0.9472,0.14254,0.12955,0.10861,0.04051,2.15416,3.35503,2.24072,0.000143097,0.000143097,0.000143097
90,10421.1,0.7773,0.69744,0.9672,0.143,0.12955,0.10706,0.0399,2.1516,3.33608,2.22557,0.000132098,0.000132098,0.000132098
